id,summary1_OverallBERT,summary2_W_feedback_OverallBERT,summary3_W_feedback_OverallBERT,summary4_W_feedback_OverallBERT,summary5_W_feedback_OverallBERT,summary2_WO_feedback_OverallBERT,summary3_WO_feedback_OverallBERT,summary4_WO_feedback_OverallBERT,summary5_WO_feedback_OverallBERT
3,0.7740917205810547,0.7669657468795776,0.7646557092666626,0.7539008259773254,0.7646256685256958,0.7713932394981384,0.7712271809577942,0.7664670944213867,0.7637943625450134
4,0.8030189871788025,0.7971110343933105,0.7867333889007568,0.7859995365142822,0.776552677154541,0.7958376407623291,0.7953669428825378,0.7965587377548218,0.795183002948761
5,0.801904559135437,0.8006991147994995,0.7969269156455994,0.797110915184021,0.7950509786605835,0.7963358759880066,0.7906889915466309,0.7887510061264038,0.7894805073738098
6,0.788092315196991,0.7813063263893127,0.7783209681510925,0.7836297154426575,0.782531201839447,0.7861306071281433,0.7849045991897583,0.7867222428321838,0.7856760621070862
7,0.7812091708183289,0.7752526998519897,0.7639461159706116,0.7560917735099792,0.762529194355011,0.7767594456672668,0.7797562479972839,0.7768274545669556,0.7758594751358032
8,0.7863874435424805,0.7803521156311035,0.7785598039627075,0.7800194025039673,0.7768530249595642,0.7859718799591064,0.7840253710746765,0.7840679287910461,0.7850027680397034
9,0.7936835289001465,0.7909150123596191,0.7893094420433044,0.7897178530693054,0.7911401987075806,0.790818989276886,0.7889525890350342,0.7868518233299255,0.7863245010375977
10,0.8096362948417664,0.8048356175422668,0.8053246736526489,0.8039833903312683,0.8055208921432495,0.8041422963142395,0.801067590713501,0.8028599619865417,0.8009702563285828
11,0.8039296269416809,0.7996984720230103,0.789742648601532,0.7887184023857117,0.7908605337142944,0.7960209250450134,0.7964479327201843,0.7961633801460266,0.7973018288612366
12,0.8084573745727539,0.8049365282058716,0.7995706796646118,0.7923738360404968,0.7978430986404419,0.8076046109199524,0.80717933177948,0.807201087474823,0.8057988286018372
13,0.7913753390312195,0.783730149269104,0.7833994626998901,0.7834275960922241,0.7805427312850952,0.783610463142395,0.7816079258918762,0.7805522084236145,0.7818583250045776
14,0.8029605746269226,0.7961349487304688,0.7947580218315125,0.796873152256012,0.7966790199279785,0.7975733280181885,0.7974053621292114,0.7985591292381287,0.7979478240013123
15,0.8001936674118042,0.7976265549659729,0.792177677154541,0.793117105960846,0.7920762300491333,0.7973829507827759,0.7964810729026794,0.7962368130683899,0.7970388531684875
16,0.8035162091255188,0.796180784702301,0.796492874622345,0.7961481213569641,0.796455442905426,0.7977197766304016,0.7972655296325684,0.7960370182991028,0.7971818447113037
17,0.7877025604248047,0.7853800654411316,0.7856300473213196,0.7836934924125671,0.780534029006958,0.8123152256011963,0.8131093382835388,0.8074091076850891,0.808371901512146
18,0.8058975338935852,0.7939321398735046,0.793067216873169,0.7915948033332825,0.7905049920082092,0.8048672676086426,0.8036051392555237,0.8027797937393188,0.7959271669387817
19,0.782904863357544,0.7824332118034363,0.7776904702186584,0.7754404544830322,0.7780207991600037,0.7803745269775391,0.7807284593582153,0.7798983454704285,0.7726707458496094
20,0.7794852256774902,0.777031421661377,0.7726430296897888,0.7729266285896301,0.7731120586395264,0.7774694561958313,0.7747536897659302,0.7752347588539124,0.7735917568206787
21,0.8008464574813843,0.7928389310836792,0.7906416654586792,0.7910652160644531,0.7892786264419556,0.7955597639083862,0.7949429750442505,0.7973073124885559,0.7984083294868469
22,0.7949925661087036,0.791692852973938,0.7908633947372437,0.7780351042747498,0.7849698066711426,0.7927494049072266,0.7922141551971436,0.7890557646751404,0.7879566550254822
23,0.7931616306304932,0.7906587719917297,0.7897675037384033,0.7909036874771118,0.7913380265235901,0.7892172932624817,0.789216160774231,0.7833080887794495,0.7850083112716675
24,0.8494178056716919,0.845227837562561,0.827281653881073,0.7959386110305786,0.8231435418128967,0.8432201147079468,0.7971441149711609,0.798059344291687,0.7948686480522156
25,0.8023684024810791,0.8058789968490601,0.8033832907676697,0.7977944016456604,0.7986841201782227,0.798865020275116,0.7973505258560181,0.7911948561668396,0.7965339422225952
26,0.7773382663726807,0.7673379182815552,0.7671590447425842,0.7672134041786194,0.7653473615646362,0.7720790505409241,0.770952045917511,0.7713865637779236,0.7705869078636169
27,0.7946350574493408,0.7835984826087952,0.7822002172470093,0.7795076966285706,0.7805132269859314,0.7919304966926575,0.791158139705658,0.7859367728233337,0.7818269729614258
28,0.8078488111495972,0.8009287714958191,0.8017676472663879,0.8593276739120483,0.798753023147583,0.8032507300376892,0.8024163246154785,0.7994004487991333,0.7978463172912598
29,0.792015552520752,0.7877383232116699,0.7882090210914612,0.7846490144729614,0.7866109609603882,0.7909510731697083,0.7880117297172546,0.7873824238777161,0.7875452041625977
30,0.8029194474220276,0.8011404275894165,0.7991661429405212,0.7974194884300232,0.793312668800354,0.8019575476646423,0.8006700277328491,0.8001666069030762,0.7991935014724731
31,0.7885362505912781,0.7858057022094727,0.7803702354431152,0.7783440351486206,0.7775514125823975,0.783902645111084,0.783916175365448,0.7872672080993652,0.7870646715164185
32,0.8038407564163208,0.7997728586196899,0.7875553369522095,0.7777599692344666,0.7961264252662659,0.8031042218208313,0.8025063872337341,0.8016040921211243,0.8028363585472107
33,0.8048799633979797,0.7996175289154053,0.7998192310333252,0.7994107604026794,0.8145200610160828,0.8021833300590515,0.79884934425354,0.7981926798820496,0.7958410978317261
34,0.7851020693778992,0.7825846076011658,0.7852892279624939,0.781068742275238,0.7864547967910767,0.7867650985717773,0.7857406735420227,0.7857447862625122,0.7852405905723572
35,0.8012470006942749,0.7936387658119202,0.7881895899772644,0.7787408828735352,0.772898256778717,0.7971382141113281,0.7961190938949585,0.7928084135055542,0.7925341725349426
36,0.7945244312286377,0.794312596321106,0.7884399890899658,0.7904462814331055,0.774634063243866,0.7943264245986938,0.7927118539810181,0.7929429411888123,0.7912886738777161
