id,Overall BERTScore F1
3,0.7740917205810547
4,0.8030189871788025
5,0.801904559135437
6,0.788092315196991
7,0.7812091708183289
8,0.7863874435424805
9,0.7936835289001465
10,0.8096362948417664
11,0.8039296269416809
12,0.8084573745727539
13,0.7913753390312195
14,0.8029605746269226
15,0.8001936674118042
16,0.8035162091255188
17,0.7877025604248047
18,0.8058975338935852
19,0.782904863357544
20,0.7794852256774902
21,0.8008464574813843
22,0.7949925661087036
23,0.7931616306304932
24,0.8494178056716919
25,0.8023684024810791
26,0.7773382663726807
27,0.7946350574493408
28,0.8078488111495972
29,0.792015552520752
30,0.8029194474220276
31,0.7885362505912781
32,0.8038407564163208
33,0.8048799633979797
34,0.7851020693778992
35,0.8012470006942749
36,0.7945244312286377
37,0.8021044731140137
38,0.8123899102210999
39,0.7450761198997498
40,0.8085560202598572
41,0.8036488890647888
42,0.7967204451560974
43,0.8215162754058838
44,0.8020705580711365
45,0.8128042817115784
46,0.7696846723556519
47,0.8005608320236206
48,0.8029128909111023
49,0.7819425463676453
50,0.7951400876045227
51,0.7898487448692322
52,0.8045883774757385
53,0.8036142587661743
54,0.7987020611763
55,0.8052570223808289
56,0.8068817257881165
57,0.7766144275665283
58,0.8127232789993286
59,0.8087009191513062
60,0.7977033257484436
61,0.8045580387115479
62,0.8059081435203552
63,0.8082788586616516
64,0.7888209223747253
65,0.7929260730743408
66,0.8038139939308167
67,0.8009548187255859
68,0.81119704246521
69,0.7983365654945374
70,0.7936018705368042
71,0.8064767718315125
72,0.8022264838218689
73,0.8070090413093567
74,0.7983344197273254
75,0.805126965045929
76,0.8034141659736633
77,0.7994800806045532
78,0.8009533286094666
79,0.7986220717430115
80,0.7925662994384766
81,0.7933115363121033
82,0.7791703939437866
83,0.8081005215644836
84,0.7927185893058777
85,0.7885998487472534
86,0.7991368770599365
87,0.7886757254600525
88,0.7966008186340332
89,0.7907745838165283
90,0.8055644035339355
91,0.797684907913208
92,0.7735759019851685
93,0.7760666012763977
94,0.7708404660224915
95,0.7770098447799683
96,0.8200976252555847
97,0.8120800256729126
98,0.7970049381256104
99,0.7932106256484985
100,0.7895220518112183
101,0.7997588515281677
102,0.7974148988723755
103,0.7775102257728577
104,0.8014824390411377
105,0.7765184640884399
106,0.8084048628807068
107,0.7962950468063354
